WP_ID,DataType,Date_Assessment_Original,Date_Assessment,Time_Assessment,Temp,pH,SEC,Turbidity,Total_Iron,Titration_1,Titration_2,Volume,N_VALUE,HCO3,Corrected_HCO3,Tryptophan_Probe,Sample_taken,SURVEY_DETAIL_ID,COUNTRY,Comment,Final_HCO3
MLI01,Field,,2016-10-26,08:20:00,24.8,6.68,307.9,0.34,0.003,58.0,55.0,50.0,1.6,137.754480068268,137.754480068268,,Sampled,825,MAL,PVC pipes installed,137.754480068268
MLI02,Field,,2016-10-27,09:45:00,24.6,6.93,1272.0,0.34,0.079,134.0,137.0,50.0,1.6,330.366938924784,330.366938924784,,Sampled,826,MAL,PVC pipes installed,330.366938924784
MLI03,Field,,2016-10-27,11:20:00,24.4,6.94,1148.0,0.28,0.021,144.0,145.0,50.0,1.6,352.310130440083,352.310130440083,,Sampled,827,MAL,PVC pipes installed,352.310130440083
MLI04,Field,,2016-10-27,12:45:00,24.6,6.64,311.5,0.28,0.021,52.0,49.0,50.0,1.6,123.125685724735,123.125685724735,,Sampled,828,MAL,PVC pipes installed,123.125685724735
MMA40,Field,,2016-11-02,15:20:00,28.7,7.69,763.6,0.31,-0.001,135.0,137.0,50.0,1.6,331.586005120078,331.586005120078,0.7,Sampled,824,MAL,PVC pipes installed,331.586005120078
MMA37,Field,,2016-11-02,11:00:00,26.1,6.22,97.11,0.4,0.024,181.0,180.0,50.0,0.16,44.008289650128,44.008289650128,0.1,Sampled,821,MAL,PVC pipes installed,44.008289650128
MMA38,Field,,2016-11-02,12:40:00,26.9,6.38,173.8,0.27,0.0,199.0,199.0,50.0,0.16,48.5188345727173,48.5188345727173,0.3,Sampled,822,MAL,PVC pipes installed,48.5188345727173
MMA39,Field,,2016-11-03,,,,,,,,,,,,,,NotSampled,823,MAL,,
MMA34,Field,,2016-11-03,11:00:00,27.0,7.13,3951.0,0.66,0.013,286.0,290.0,50.0,1.6,702.182128489577,702.182128489577,0.5,Sampled,818,MAL,PVC pipes installed,702.182128489577
MMA35,Field,,2016-11-03,13:10:00,27.1,7.07,901.3,0.29,,209.0,215.0,50.0,1.6,516.884066804828,516.884066804828,0.3,Sampled,819,MAL,PVC pipes installed,516.884066804828
MMA36,Field,,2016-11-03,15:05:00,28.0,6.87,625.4,0.24,0.002,168.0,159.0,50.0,1.6,398.63464586127,398.63464586127,0.7,Sampled,820,MAL,PVC pipes installed,398.63464586127
MMA30,Field,,2016-11-04,10:05:00,25.6,6.63,161.5,0.28,0.006,328.0,332.0,50.0,1.6,804.583688894307,804.583688894307,0.2,Sampled,814,MAL,PVC pipes installed,804.583688894307
MMA31,Field,,2016-11-04,12:10:00,26.3,7.22,843.0,52.3,-0.003,189.0,191.0,50.0,1.6,463.245154211874,463.245154211874,0.8,Sampled,815,MAL,PVC pipes installed,463.245154211874
MMA32,Field,,2016-11-04,,,,,,,,,,,,,,NotSampled,816,MAL,,
MMA33,Field,,2016-11-05,,,,,,,,,,,,,,NotSampled,817,MAL,,
MMA27,Field,,2016-11-05,09:35:00,27.0,6.97,418.5,0.3,0.013,80.0,75.0,50.0,1.6,188.955260270633,188.955260270633,0.3,Sampled,811,MAL,PVC pipes installed,188.955260270633
MMA28,Field,,2016-11-05,11:15:00,27.9,7.34,1953.0,1.05,0.01,367.0,368.0,50.0,1.6,896.013653541387,896.013653541387,0.7,Sampled,812,MAL,PVC pipes installed,896.013653541387
MMA29,Field,,2016-11-07,13:15:00,27.5,6.98,792.8,0.28,0.017,195.0,193.0,50.0,1.6,472.997683774229,472.997683774229,0.1,Sampled,813,MAL,PVC pipes installed,472.997683774229
MMA23,Field,,2016-11-07,,,,,,,,,,,,,,NotSampled,807,MAL,,
